ticker;total_debt;stockholders_equity;de_ratio
AAPL;101304000000;66708000000;1,51861845655693
MSFT;67127000000;268477000000;0,250028866532329
GOOGL;27801000000;300753000000;0,092437980668522
AMZN;132973000000;236447000000;0,562379729918333
NVDA;10015000000;58157000000;0,172206269236721
BRK-B;123628000000;601697000000;0,205465541626433
META;37991000000;156763000000;0,242346727225174
TSLA;12515000000;66468000000;0,188286092555816
UNH;75098000000;89359000000;0,840407793283273
JNJ;41491000000;71538000000;0,5799854622718
V;20602000000;39729000000;0,518563266128017
XOM;43186000000;268405000000;0,160898641977608
PG;33369000000;50286000000;0,66358429781649
LLY;28892000000;13562000000;2,13036425306002
MA;15605000000;7421000000;2,10281633203072
HD;64612000000;4420000000;14,6180995475113
CVX;23184000000;159233000000;0,145597960221813
MRK;37788000000;43582000000;0,867055206277821
ABBV;70634000000;6778000000;10,4210681616996
PEP;44927000000;19446000000;2,31034660084336
KO;43817000000;25853000000;1,6948516613159
PFE;68677000000;87700000000;0,78309007981756
AVGO;69959000000;65651000000;1,06561971637903
COST;9297000000;21771000000;0,427035965274907
TMO;35405000000;47432000000;0,746437004553888
MCD;51999000000;-4824000000;-10,7792288557214
WMT;61305000000;84423000000;0,726164670765076
CSCO;30962000000;45457000000;0,681127219130167
ACN;4601543000;27744489000;0,165854307138257
ABT;14754000000;39318000000;0,375247978025332
DHR;17010000000;49897000000;0,340902258652825
NFLX;13980065000;22112693000;0,632219015567213
LIN;21518000000;38179000000;0,563608266324419
VZ;172980000000;96172000000;1,79865241442416
ADBE;6090000000;14843000000;0,410294414875699
NKE;11952000000;14430000000;0,828274428274428
TXN;13891000000;17214000000;0,806959451609155
CRM;11393000000;57633000000;0,197681883643052
NEE;82633000000;49140000000;1,68158323158323
PM;49139000000;-9744000000;-5,04300082101806
BMY;54004000000;17015000000;3,17390537760799
COP;18352000000;49745000000;0,368921499648206
QCOM;14554000000;24670000000;0,589947304418322
HON;27932000000;16947000000;1,64819732105977
MS;292337000000;100714000000;2,90264511388685
ORCL;86869000000;8704000000;9,98035386029412
RTX;43566000000;58985000000;0,738594557938459
INTC;53029000000;115229000000;0,460205330255404
AMGN;62645000000;5925000000;10,5729957805907
SPGI;11920000000;34881000000;0,341733321865772
IBM;59839000000;24026000000;2,49059352368268
GS;336646000000;119463000000;2,81799385583821
CAT;37311000000;17130000000;2,17810858143608
BLK;11678000000;40102000000;0,291207421076256
UPS;26449000000;17030000000;1,55308279506753
MDT;27865000000;47947000000;0,581162533630884
SCHW;56845000000;43953000000;1,29331331194685
UNP;33197000000;16489000000;2,0132815816605
DE;66113000000;23062000000;2,8667504986558
LOW;40239000000;-13763000000;-2,92370849378769
GILD;23350000000;18281000000;1,27728242437503
CVS;83822000000;74930000000;1,11867075937542
SBUX;25291800000;-7945400000;-3,18320034233645
INTU;6567000000;18436000000;0,356205250596659
NOW;2255000000;8666000000;0,260212324024925
PLD;29904620000;53345060000;0,560588365633106
AXP;53160000000;29540000000;1,79959377115775
MO;25023000000;-3016000000;-8,29675066312997
BKNG;17337000000;-4276000000;-4,0544901777362
T;147778000000;105310000000;1,40326654638686
ISRG;0;14708300000;0
MMC;15435000000;13367000000;1,15470935886886
EL;9826000000;5314000000;1,84907790741438
LMT;19257000000;6175000000;3,11854251012146
SYK;12222000000;19762000000;0,618459670073879
BA;57927000000;-17976000000;-3,22246328437917
ADP;3705300000;4547600000;0,814781423168265
MDLZ;20245000000;27689000000;0,731156777059482
ZTS;6744000000;4966000000;1,35803463552155
GE;19673000000;18598000000;1,05780191418432
AMT;47389500000;3856000000;12,2898080912863
TMUS;114150000000;62636000000;1,82243438278306
MU;13867000000;44225000000;0,313555681175806
PYPL;9727000000;20622000000;0,471680729318204
C;319015000000;208310000000;1,53144352167443
CI;31892000000;41332000000;0,771605535662441
CB;14731000000;61038000000;0,241341459418723
APD;14672000000;15101300000;0,971571983868938
F;152895000000;43567000000;3,50942226914867
MRNA;1269000000;11712000000;0,108350409836066
EQIX;17975000000;12278000000;1,46400065157192
ICE;22130000000;26687000000;0,82924270243939
GM;126436000000;68633000000;1,84220418748998
EW;693000000;7437400000;0,0931777233979617
DUK;83374000000;49707000000;1,6773090309212
SO;65519000000;32449000000;2,01913772381275
REGN;2703600000;28205800000;0,095852626055634
PGR;6890700000;23340400000;0,295226302891124
HUM;12895000000;16671000000;0,773498890288525
PSA;9400520000;9707245000;0,968402466405247
