ticker;average_stockholders_equity;ROE
HD;2178500000;678,081248565527
MA;6976000000;175,716743119266
ORCL;7252250000;151,359922782585
AAPL;69287000000;147,150259067357
NVDA;45885500000;115,522332763073
LMT;7233500000;93,1222782885187
ADP;4241675000;88,4556218946525
LLY;12091625000;60,7213670619127
AMT;4158825000;59,8606577579004
CAT;18688000000;58,8987585616438
ABBV;9309750000;57,3484787454013
JNJ;70390000000;54,0105128569399
AMGN;6208750000;50,4127239782565
PEP;18950500000;50,2308646209862
V;39670000000;48,1623392992186
ZTS;5024750000;46,6490870192547
UNP;15236500000;42,6213369212089
KO;26137000000;40,7391820025252
NKE;14193250000;40,1599351804555
QCOM;23444500000;37,1601015163471
DE;22401500000;36,7118273329911
IBM;23225250000;36,3010086005533
MSFT;245152750000;35,9514629144482
ADBE;15341500000;34,937913502591
HON;16622000000;34,7972566478161
AXP;28421250000;34,607907815455
META;150583250000;34,1565213926516
MRK;40693250000;33,754983934682
PGR;20706025000;33,3197704532859
NFLX;21543510750;32,9323065415417
MMC;12346500000;32,4869396185154
TXN;16931250000;31,3739387227759
COST;23434000000;30,6093709994026
GOOGL;287544500000;30,4846728071655
PG;49142500000;30,2792898204202
UPS;17603250000;29,8467612514734
ACN;26809233000;25,9367696196307
CSCO;45671500000;22,5961485828142
COP;49023500000;21,7956694238477
PYPL;20528750000;21,6184619131706
AMZN;209489000000;21,2034999451045
EW;6965700000;21,1464748697188
PSA;9944186000;20,9133759163395
TSLA;61736500000;20,0691649186462
BA;-17236750000;19,9631601084891
WMT;82258250000;18,9063103093003
SYK;18858000000;18,2840173931488
GE;26124000000;18,1557188791916
APD;14800150000;17,3707698908457
INTU;17773250000;16,6711209261109
CB;58363250000;16,6474622300849
LIN;38906500000;16,4445529667279
REGN;26518600000;16,2968633336601
GM;68498000000;16,1727349703641
UNH;87324250000;16,1501530216406
XOM;219540000000;15,5598068689077
ISRG;13629375000;15,3616728573394
BLK;39450250000;15,3281664881718
TMUS;63530750000;14,8825568720659
NOW;7895750000;14,5141373523731
SO;31797500000;14,4948502240742
ABT;38553000000;14,4139236894664
MDLZ;28259500000;13,9669845538668
TMO;46253000000;13,4499383823752
NEE;48086000000;13,1410389718421
T;104212500000;12,2106273239774
BRK-B;564947500000;12,0112045809566
VZ;95169250000;11,8231466571398
SCHW;41276750000;11,7838734881017
CVX;161520000000;11,5898959881129
MS;99540250000;10,4610948837279
HUM;16503000000;10,3678119129855
CVS;74924000000;9,59639100955635
CRM;58763000000;9,58426220580978
SPGI;34706750000;9,57450640005186
GS;118047750000;9,52241783515569
ICE;26025500000;8,88743732108893
AVGO;57471000000;8,86534078056759
F;43368250000;8,84518051800568
DUK;49344000000;8,7041990920882
CI;43606750000;8,50327070923653
EQIX;12238194500;8,46008780135011
DHR;52308000000;8,03509979353063
MDT;50353250000;7,79890076608759
EL;5528000000;7,05499276410999
PLD;53338317000;5,29755372671395
GILD;20241500000;5,20218363263592
C;207462750000;3,9983081300137
RTX;62216000000;3,63572071492864
INTC;107151250000;0,90992872225009
PFE;91482500000;-2,83660809444429
MU;43775000000;-3,51570531125071
BMY;22983250000;-28,4598566347231
MRNA;12959500000;-45,2718083259385
LOW;-14641500000;-47,3380459652358
SBUX;-8251400000;-49,3358702765591
PM;-10177750000;-86,502419493503
BKNG;-2924250000;-172,009917072754
MCD;-4804375000;-172,906985820216
MO;-3769250000;-269,496584201101
