ticker;beta;date
AAPL;1,24;1.10.2024
MSFT;0,896;1.10.2024
GOOGL;1,039;1.10.2024
AMZN;1,146;1.10.2024
NVDA;1,673;1.10.2024
BRK-B;0,872;1.10.2024
META;1,213;1.10.2024
TSLA;2,29;1.10.2024
UNH;0,595;1.10.2024
JNJ;0,519;1.10.2024
V;0,963;1.10.2024
XOM;0,878;1.10.2024
PG;0,407;1.10.2024
LLY;0,422;1.10.2024
MA;1,103;1.10.2024
HD;1,003;1.10.2024
CVX;1,08;1.10.2024
MRK;0,401;1.10.2024
ABBV;0,619;1.10.2024
PEP;0,541;1.10.2024
KO;0,609;1.10.2024
PFE;0,617;1.10.2024
AVGO;1,183;1.10.2024
COST;0,788;1.10.2024
TMO;0,778;1.10.2024
MCD;0,724;1.10.2024
WMT;0,515;1.10.2024
CSCO;0,819;1.10.2024
ACN;1,239;1.10.2024
ABT;0,722;1.10.2024
DHR;0,861;1.10.2024
NFLX;1,262;1.10.2024
LIN;0,945;1.10.2024
VZ;0,407;1.10.2024
ADBE;1,296;1.10.2024
NKE;1,014;1.10.2024
TXN;0,976;1.10.2024
CRM;1,297;1.10.2024
NEE;0,551;1.10.2024
PM;0,578;1.10.2024
BMY;0,458;1.10.2024
COP;1,228;1.10.2024
QCOM;1,284;1.10.2024
HON;1,027;1.10.2024
MS;1,357;1.10.2024
ORCL;1;1.10.2024
RTX;0,544;1.10.2024
INTC;1,02;1.10.2024
AMGN;0,605;1.10.2024
SPGI;1,177;1.10.2024
IBM;0,693;1.10.2024
GS;1,353;1.10.2024
CAT;1,089;1.10.2024
BLK;1,317;1.10.2024
UPS;0,977;1.10.2024
MDT;0,854;1.10.2024
SCHW;0,964;1.10.2024
UNP;1,053;1.10.2024
DE;0,929;1.10.2024
LOW;1,09;1.10.2024
GILD;0,196;1.10.2024
CVS;0,528;1.10.2024
SBUX;0,96;1.10.2024
INTU;1,243;1.10.2024
NOW;0,987;1.10.2024
PLD;1,083;1.10.2024
AXP;1,212;1.10.2024
MO;0,687;1.10.2024
BKNG;1,4;1.10.2024
T;0,733;1.10.2024
ISRG;1,395;1.10.2024
MMC;0,937;1.10.2024
EL;0,997;1.10.2024
LMT;0,469;1.10.2024
SYK;0,919;1.10.2024
BA;1,575;1.10.2024
ADP;0,802;1.10.2024
MDLZ;0,548;1.10.2024
ZTS;0,883;1.10.2024
GE;1,179;1.10.2024
AMT;0,83;1.10.2024
TMUS;0,507;1.10.2024
MU;1,176;1.10.2024
PYPL;1,438;1.10.2024
C;1,435;1.10.2024
CI;0,509;1.10.2024
CB;0,674;1.10.2024
APD;0,828;1.10.2024
F;1,635;1.10.2024
MRNA;1,671;1.10.2024
EQIX;0,7;1.10.2024
ICE;1,091;1.10.2024
GM;1,439;1.10.2024
EW;1,132;1.10.2024
DUK;0,457;1.10.2024
SO;0,509;1.10.2024
REGN;0,122;1.10.2024
PGR;0,353;1.10.2024
HUM;0,509;1.10.2024
PSA;0,67;1.10.2024
